time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-08 00:00:00+00:00,338,177,2101,1178
2025-06-09 00:00:00+00:00,1517,405,3948,2032
2025-06-10 00:00:00+00:00,2222,303,4196,2294
2025-06-11 00:00:00+00:00,3276,311,4019,2245
2025-06-12 00:00:00+00:00,2997,363,7615,1857
2025-06-13 00:00:00+00:00,1534,376,4276,1839
2025-06-14 00:00:00+00:00,1614,176,1954,1082
2025-06-15 00:00:00+00:00,1683,176,2288,1011
2025-06-16 00:00:00+00:00,1017,287,3913,2060
2025-06-17 00:00:00+00:00,1521,344,3749,1963
2025-06-18 00:00:00+00:00,1010,324,3342,1839
2025-06-19 00:00:00+00:00,1448,393,3777,1874
2025-06-20 00:00:00+00:00,855,276,3304,1765
2025-06-21 00:00:00+00:00,282,160,1904,1029
