time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-24 00:00:00+00:00,982,115,8045,2823
2024-07-25 00:00:00+00:00,778,152,7324,2776
2024-07-26 00:00:00+00:00,488,92,6927,2559
2024-07-27 00:00:00+00:00,101,77,3932,1503
2024-07-28 00:00:00+00:00,148,79,4497,1393
2024-07-29 00:00:00+00:00,448,105,7408,2823
2024-07-30 00:00:00+00:00,387,78,7103,2737
2024-07-31 00:00:00+00:00,412,87,7987,2594
2024-08-01 00:00:00+00:00,715,133,7135,2378
2024-08-02 00:00:00+00:00,1257,83,6083,2312
2024-08-03 00:00:00+00:00,82,65,4409,1399
2024-08-04 00:00:00+00:00,151,76,3826,1455
2024-08-05 00:00:00+00:00,990,118,7335,2353
2024-08-06 00:00:00+00:00,484,75,6306,2460
