referrer,views_total,views_unique
Google,9066,5557
agpt.co,4609,2566
github.com,4012,1702
chatgpt.com,2572,1571
Bing,558,272
docs.agpt.co,478,185
futurepedia.io,236,155
youtube.com,164,68
search.brave.com,160,94
link.zhihu.com,156,95
