referrer,views_total,views_unique
Google,17792,9820
github.com,4996,2242
agpt.co,3768,1892
chatgpt.com,2202,1084
Bing,1117,566
docs.agpt.co,1051,339
aixploria.com,656,424
youtube.com,532,173
link.zhihu.com,383,190
futurepedia.io,306,217
