referrer,views_total,views_unique
Google,16891,9868
github.com,6425,2340
agpt.co,2031,1027
Bing,1090,503
docs.agpt.co,940,303
chatgpt.com,643,298
youtube.com,477,166
aixploria.com,389,249
search.brave.com,361,142
cn.bing.com,326,161
