time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-12-19 00:00:00+00:00,3138,616,2587,1384
2025-12-20 00:00:00+00:00,712,193,1601,972
2025-12-21 00:00:00+00:00,387,162,1704,909
2025-12-22 00:00:00+00:00,808,269,2158,1229
2025-12-23 00:00:00+00:00,286,177,2333,1178
2025-12-24 00:00:00+00:00,217,119,2255,1178
2025-12-25 00:00:00+00:00,279,162,1741,955
2025-12-26 00:00:00+00:00,663,165,2476,1390
2025-12-27 00:00:00+00:00,1057,141,1720,890
2025-12-28 00:00:00+00:00,251,126,1610,910
2025-12-29 00:00:00+00:00,569,247,2775,1428
2025-12-30 00:00:00+00:00,1043,278,2807,1446
2025-12-31 00:00:00+00:00,756,239,2192,1203
2026-01-01 00:00:00+00:00,352,194,1766,906
