referrer,views_total,views_unique
Google,16937,9959
github.com,6230,2312
agpt.co,1936,985
Bing,1034,491
docs.agpt.co,992,308
chatgpt.com,610,279
youtube.com,471,163
aixploria.com,379,242
search.brave.com,378,140
futurepedia.io,317,232
