time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-08 00:00:00+00:00,141,78,3519,1299
2024-09-09 00:00:00+00:00,594,113,6481,2597
2024-09-10 00:00:00+00:00,451,89,6328,2427
2024-09-11 00:00:00+00:00,555,77,6412,2477
2024-09-12 00:00:00+00:00,611,133,6161,2517
2024-09-13 00:00:00+00:00,396,90,6020,2245
2024-09-14 00:00:00+00:00,187,73,4862,1551
2024-09-15 00:00:00+00:00,183,72,4106,1362
2024-09-16 00:00:00+00:00,421,113,5394,2087
2024-09-17 00:00:00+00:00,388,67,5268,2163
2024-09-18 00:00:00+00:00,627,83,8020,2779
2024-09-19 00:00:00+00:00,495,128,8004,2924
2024-09-20 00:00:00+00:00,2058,79,6850,2460
2024-09-21 00:00:00+00:00,205,80,4720,1478
