time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-25 00:00:00+00:00,332,87,4606,2270
2024-10-26 00:00:00+00:00,98,56,2994,1501
2024-10-27 00:00:00+00:00,131,74,3161,1327
2024-10-28 00:00:00+00:00,437,130,4841,2443
2024-10-29 00:00:00+00:00,339,92,4613,2382
2024-10-30 00:00:00+00:00,284,65,4959,2467
2024-10-31 00:00:00+00:00,300,117,4440,2123
2024-11-01 00:00:00+00:00,248,94,4378,1932
2024-11-02 00:00:00+00:00,112,77,3313,1228
2024-11-03 00:00:00+00:00,136,77,3068,1348
2024-11-04 00:00:00+00:00,376,120,4861,2347
2024-11-05 00:00:00+00:00,411,90,5279,2467
2024-11-06 00:00:00+00:00,194,66,4739,2279
2024-11-07 00:00:00+00:00,286,107,4927,2300
