time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-14 00:00:00+00:00,187,73,4862,1551
2024-09-15 00:00:00+00:00,183,72,4106,1362
2024-09-16 00:00:00+00:00,421,113,5394,2087
2024-09-17 00:00:00+00:00,388,67,5268,2163
2024-09-18 00:00:00+00:00,627,83,8020,2779
2024-09-19 00:00:00+00:00,495,128,8004,2924
2024-09-20 00:00:00+00:00,2058,79,6850,2460
2024-09-21 00:00:00+00:00,213,83,5010,1558
2024-09-22 00:00:00+00:00,104,82,4349,1549
2024-09-23 00:00:00+00:00,482,131,7083,2538
2024-09-24 00:00:00+00:00,641,100,8285,3294
2024-09-25 00:00:00+00:00,664,121,8781,3010
2024-09-26 00:00:00+00:00,813,159,6099,2863
2024-09-27 00:00:00+00:00,551,95,5496,2460
