referrer,views_total,views_unique
Google,7405,4644
agpt.co,4510,2566
github.com,4154,1760
chatgpt.com,2889,1822
docs.agpt.co,693,230
Bing,431,253
futurepedia.io,205,130
aixploria.com,170,116
search.brave.com,162,74
youtube.com,136,62
