referrer,views_total,views_unique
Google,36064,15578
github.com,10316,2605
docs.agpt.co,5343,962
Bing,2302,668
youtube.com,1900,468
news.agpt.co,1882,758
DuckDuckGo,904,302
link.zhihu.com,545,237
lilianweng.github.io,466,176
medium.com,349,121
