referrer,views_total,views_unique
Google,16129,9303
github.com,5020,2152
agpt.co,3655,1786
chatgpt.com,1681,915
Bing,992,460
docs.agpt.co,881,295
aixploria.com,564,433
futurepedia.io,396,288
search.brave.com,387,179
youtube.com,369,182
