referrer,views_total,views_unique
Google,11735,7224
github.com,4530,1857
agpt.co,4253,2388
chatgpt.com,2806,1638
docs.agpt.co,904,346
Bing,630,323
link.zhihu.com,276,140
youtube.com,244,120
futurepedia.io,238,152
DuckDuckGo,174,104
