referrer,views_total,views_unique
github.com,6933,3876
Google,6365,4142
agpt.co,4846,2852
chatgpt.com,1674,979
Bing,619,369
doubao.com,307,125
aixploria.com,176,136
Baidu,159,99
futurepedia.io,144,92
youtube.com,120,53
