referrer,views_total,views_unique
Google,17213,10355
github.com,5444,2135
agpt.co,2263,1106
docs.agpt.co,1384,430
Bing,978,461
chatgpt.com,918,250
youtube.com,485,141
search.brave.com,363,154
aixploria.com,316,216
futurepedia.io,308,240
