time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-30 00:00:00+00:00,1251,802,7646,2772
2024-05-01 00:00:00+00:00,1115,763,6548,2356
2024-05-02 00:00:00+00:00,1871,1280,6716,2541
2024-05-03 00:00:00+00:00,1181,798,6294,2319
2024-05-04 00:00:00+00:00,1102,727,5098,1709
2024-05-05 00:00:00+00:00,988,727,4935,1817
2024-05-06 00:00:00+00:00,1667,1295,8140,3027
2024-05-07 00:00:00+00:00,1310,867,9308,3269
2024-05-08 00:00:00+00:00,788,670,8643,2795
2024-05-09 00:00:00+00:00,1784,1236,9136,3094
2024-05-10 00:00:00+00:00,1049,724,7850,2741
2024-05-11 00:00:00+00:00,1129,687,6080,1904
2024-05-12 00:00:00+00:00,883,672,5276,1718
2024-05-13 00:00:00+00:00,1422,1169,8192,2819
