referrer,views_total,views_unique
Google,18067,9596
github.com,5703,2463
agpt.co,3763,2016
chatgpt.com,1374,672
docs.agpt.co,1175,351
Bing,1087,477
aixploria.com,502,330
futurepedia.io,436,304
youtube.com,433,187
search.brave.com,400,176
