referrer,views_total,views_unique
Google,12626,7894
github.com,4469,1963
agpt.co,4219,2325
chatgpt.com,2769,1638
docs.agpt.co,879,288
Bing,669,368
link.zhihu.com,312,164
youtube.com,272,124
futurepedia.io,212,156
DuckDuckGo,201,109
