referrer,views_total,views_unique
github.com,5981,2857
Google,5782,3652
agpt.co,4151,2447
chatgpt.com,1186,615
Bing,626,326
goodailist.com,188,125
search.brave.com,165,81
aixploria.com,151,117
github-cn.com,151,107
futurepedia.io,143,103
