referrer,views_total,views_unique
Google,8585,5618
agpt.co,4534,2559
github.com,3506,1547
chatgpt.com,2229,1278
Bing,780,369
docs.agpt.co,534,203
futurepedia.io,260,168
search.brave.com,184,87
youtube.com,158,67
aixploria.com,155,96
