referrer,views_total,views_unique
Google,59472,20283
github.com,18278,4017
docs.agpt.co,6078,908
news.agpt.co,4304,1314
Bing,4153,1042
youtube.com,3823,818
DuckDuckGo,1678,445
link.zhihu.com,1270,435
lilianweng.github.io,1068,260
medium.com,742,221
