referrer,views_total,views_unique
Google,21907,11880
github.com,8209,2622
docs.agpt.co,3305,686
agpt.co,3016,1208
Bing,1413,490
chatgpt.com,653,223
youtube.com,623,187
cn.bing.com,469,159
futurepedia.io,383,238
search.brave.com,381,145
