referrer,views_total,views_unique
Google,14901,8880
github.com,4929,2121
agpt.co,4210,2225
chatgpt.com,2073,1155
Bing,869,460
docs.agpt.co,823,249
link.zhihu.com,368,191
cn.bing.com,353,189
youtube.com,345,139
search.brave.com,308,142
