referrer,views_total,views_unique
Google,16508,9491
github.com,6091,2184
agpt.co,2587,1223
Bing,1177,537
docs.agpt.co,950,313
chatgpt.com,783,324
youtube.com,545,189
futurepedia.io,377,260
DuckDuckGo,377,138
aixploria.com,356,241
