time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-02 00:00:00+00:00,2893,540,2234,1278
2025-10-03 00:00:00+00:00,1316,303,2477,1383
2025-10-04 00:00:00+00:00,806,209,2330,1592
2025-10-05 00:00:00+00:00,247,156,1435,790
2025-10-06 00:00:00+00:00,1794,448,2337,1206
2025-10-07 00:00:00+00:00,2631,379,2780,1449
2025-10-08 00:00:00+00:00,1750,381,2421,1356
2025-10-09 00:00:00+00:00,1636,425,3101,1492
2025-10-10 00:00:00+00:00,1566,405,2633,1344
2025-10-11 00:00:00+00:00,572,218,1794,1024
2025-10-12 00:00:00+00:00,246,159,1564,845
2025-10-13 00:00:00+00:00,2448,487,3056,1543
2025-10-14 00:00:00+00:00,4626,491,3172,1588
2025-10-15 00:00:00+00:00,2733,387,2673,1453
