referrer,views_total,views_unique
Google,18084,11145
github.com,5581,2231
agpt.co,2878,1318
docs.agpt.co,2247,618
Bing,1086,488
youtube.com,579,207
chatgpt.com,442,202
futurepedia.io,373,242
search.brave.com,293,144
aixploria.com,288,216
