referrer,views_total,views_unique
Google,46515,17317
github.com,15964,4003
docs.agpt.co,6701,1230
Bing,3078,941
news.agpt.co,2938,1094
youtube.com,2844,688
link.zhihu.com,1107,393
DuckDuckGo,1048,383
lilianweng.github.io,719,290
search.brave.com,530,173
