time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-23 00:00:00+00:00,880,698,10409,3391
2024-01-24 00:00:00+00:00,844,684,9954,3215
2024-01-25 00:00:00+00:00,1343,1064,9850,3085
2024-01-26 00:00:00+00:00,849,704,9130,2967
2024-01-27 00:00:00+00:00,811,662,5993,1791
2024-01-28 00:00:00+00:00,813,648,5671,1899
2024-01-29 00:00:00+00:00,1451,1130,9914,3334
2024-01-30 00:00:00+00:00,2606,748,10341,3422
2024-01-31 00:00:00+00:00,887,659,9498,3130
2024-02-01 00:00:00+00:00,1419,1118,10301,3309
2024-02-02 00:00:00+00:00,1123,748,8757,3117
2024-02-03 00:00:00+00:00,783,643,6301,1940
2024-02-04 00:00:00+00:00,807,654,7741,2264
2024-02-05 00:00:00+00:00,1305,1064,9515,3062
