referrer,views_total,views_unique
github.com,6698,3853
Google,2325,1791
agpt.co,1713,983
chatgpt.com,879,572
Bing,414,224
aixploria.com,222,150
futurepedia.io,130,77
link.zhihu.com,93,41
lilianweng.github.io,89,47
DuckDuckGo,81,49
