referrer,views_total,views_unique
Google,45306,18076
github.com,16595,4625
docs.agpt.co,7605,1302
Bing,3552,907
news.agpt.co,2641,1025
youtube.com,2205,595
link.zhihu.com,1303,362
DuckDuckGo,1001,347
medium.com,696,138
search.brave.com,631,184
