referrer,views_total,views_unique
Google,36590,16153
github.com,13047,3085
docs.agpt.co,6203,1115
Bing,2585,673
news.agpt.co,2222,891
youtube.com,2115,481
link.zhihu.com,1090,344
DuckDuckGo,921,271
notebooks.githubusercontent.com,494,44
lilianweng.github.io,440,192
