referrer,views_total,views_unique
Google,5796,3587
github.com,5366,2721
agpt.co,4008,2339
chatgpt.com,1177,640
Bing,678,343
github-cn.com,282,182
doubao.com,192,98
search.brave.com,159,69
futurepedia.io,147,111
goodailist.com,145,100
