time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-08-18 00:00:00+00:00,91,69,3636,1217
2024-08-19 00:00:00+00:00,197,126,6113,2216
2024-08-20 00:00:00+00:00,388,80,6723,2382
2024-08-21 00:00:00+00:00,552,78,5527,2201
2024-08-22 00:00:00+00:00,454,138,5801,2306
2024-08-23 00:00:00+00:00,588,90,4930,2051
2024-08-24 00:00:00+00:00,154,62,3425,1199
2024-08-25 00:00:00+00:00,129,68,3831,1278
2024-08-26 00:00:00+00:00,301,106,6059,2158
2024-08-27 00:00:00+00:00,350,81,6123,2328
2024-08-28 00:00:00+00:00,428,85,6634,2328
2024-08-29 00:00:00+00:00,815,114,6478,2334
2024-08-30 00:00:00+00:00,586,59,6283,2054
2024-08-31 00:00:00+00:00,129,71,3053,1137
