referrer,views_total,views_unique
Google,5767,3597
github.com,5432,2737
agpt.co,4094,2363
chatgpt.com,1156,627
Bing,671,354
github-cn.com,274,177
doubao.com,195,100
search.brave.com,157,70
goodailist.com,152,105
futurepedia.io,139,109
