time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-09 00:00:00+00:00,5263,692,3093,1573
2026-05-10 00:00:00+00:00,1881,593,1991,1143
2026-05-11 00:00:00+00:00,7012,844,2257,1236
2026-05-12 00:00:00+00:00,11189,870,2312,1305
2026-05-13 00:00:00+00:00,12713,1105,2495,1284
2026-05-14 00:00:00+00:00,3083,686,2538,1288
2026-05-15 00:00:00+00:00,6512,778,2191,1196
2026-05-16 00:00:00+00:00,5923,810,2832,1227
2026-05-17 00:00:00+00:00,2795,469,2346,1103
2026-05-18 00:00:00+00:00,5078,721,2524,1526
2026-05-19 00:00:00+00:00,3616,792,1930,1028
2026-05-20 00:00:00+00:00,8538,1001,2129,1105
2026-05-21 00:00:00+00:00,11479,1238,2040,1154
2026-05-22 00:00:00+00:00,9496,1169,2629,1303
