time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-08 00:00:00+00:00,1260,983,11200,3543
2024-01-09 00:00:00+00:00,875,729,10047,3635
2024-01-10 00:00:00+00:00,866,683,11105,3532
2024-01-11 00:00:00+00:00,1203,910,10943,3407
2024-01-12 00:00:00+00:00,893,658,10734,3225
2024-01-13 00:00:00+00:00,779,616,7275,2024
2024-01-14 00:00:00+00:00,737,589,7125,2149
2024-01-15 00:00:00+00:00,1213,946,11761,3324
2024-01-16 00:00:00+00:00,938,658,12073,3487
2024-01-17 00:00:00+00:00,863,693,10559,3498
2024-01-18 00:00:00+00:00,1349,1037,10925,3428
2024-01-19 00:00:00+00:00,1226,754,9781,3172
2024-01-20 00:00:00+00:00,807,622,6207,1963
2024-01-21 00:00:00+00:00,771,641,5954,1820
