referrer,views_total,views_unique
Google,14423,7609
github.com,6078,2587
agpt.co,3173,1562
chatgpt.com,954,467
Bing,898,412
docs.agpt.co,857,312
dofinedi.com,594,400
aixploria.com,490,329
youtube.com,426,192
DuckDuckGo,414,164
