referrer,views_total,views_unique
Google,5748,3589
github.com,5496,2725
agpt.co,4034,2382
chatgpt.com,1146,627
Bing,681,354
github-cn.com,283,179
doubao.com,193,101
search.brave.com,161,70
futurepedia.io,145,109
goodailist.com,134,91
