referrer,views_total,views_unique
Google,8856,5396
agpt.co,4574,2541
github.com,3893,1652
chatgpt.com,2527,1499
Bing,645,287
docs.agpt.co,485,179
futurepedia.io,225,148
search.brave.com,192,103
youtube.com,134,64
link.zhihu.com,133,88
