referrer,views_total,views_unique
Google,7176,4616
agpt.co,4649,2633
github.com,4326,1834
chatgpt.com,3270,2123
docs.agpt.co,519,200
Bing,492,267
futurepedia.io,202,141
search.brave.com,184,57
DuckDuckGo,165,83
aixploria.com,164,108
