referrer,views_total,views_unique
Google,6847,4164
agpt.co,4588,2670
github.com,4387,1887
chatgpt.com,3243,2158
Bing,474,249
docs.agpt.co,400,173
futurepedia.io,198,140
DuckDuckGo,178,81
youtube.com,175,70
search.brave.com,173,48
