referrer,views_total,views_unique
Google,18638,11614
github.com,5119,1810
agpt.co,2060,1077
docs.agpt.co,1776,540
Bing,972,509
chatgpt.com,582,256
youtube.com,539,211
facebook.com,447,446
futurepedia.io,385,274
aixploria.com,323,237
