time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-25 00:00:00+00:00,439,221,2347,1243
2025-05-26 00:00:00+00:00,1116,350,3806,2040
2025-05-27 00:00:00+00:00,921,259,3967,2115
2025-05-28 00:00:00+00:00,1033,323,4080,2231
2025-05-29 00:00:00+00:00,632,343,3636,1990
2025-05-30 00:00:00+00:00,800,296,5664,1899
2025-05-31 00:00:00+00:00,515,194,2373,1271
2025-06-01 00:00:00+00:00,260,166,2589,1427
2025-06-02 00:00:00+00:00,2521,350,3891,2060
2025-06-03 00:00:00+00:00,1354,278,4200,2420
2025-06-04 00:00:00+00:00,2575,376,5023,2937
2025-06-05 00:00:00+00:00,2525,394,5999,2417
2025-06-06 00:00:00+00:00,1597,331,3789,1950
2025-06-07 00:00:00+00:00,229,143,2000,1117
