time_iso8601,forks_cumulative
2023-08-10 00:00:00+00:00,30594
2023-08-11 00:00:00+00:00,30622
2023-08-12 00:00:00+00:00,30637
2023-08-13 00:00:00+00:00,30655
2023-08-14 00:00:00+00:00,30670
2023-08-15 00:00:00+00:00,30698
2023-08-16 00:00:00+00:00,30723
2023-08-17 00:00:00+00:00,30760
2023-08-18 00:00:00+00:00,30777
2023-08-19 00:00:00+00:00,30789
2023-08-20 00:00:00+00:00,30810
2023-08-21 00:00:00+00:00,30830
2023-08-22 00:00:00+00:00,30849
2023-08-23 00:00:00+00:00,30873
2023-08-24 00:00:00+00:00,30886
2023-08-25 00:00:00+00:00,30903
2023-08-26 00:00:00+00:00,30925
2023-08-27 00:00:00+00:00,30937
2023-08-28 00:00:00+00:00,30969
2023-08-29 00:00:00+00:00,30992
2023-08-30 00:00:00+00:00,31012
2023-08-31 00:00:00+00:00,31032
2023-09-01 00:00:00+00:00,31053
2023-09-02 00:00:00+00:00,31072
2023-09-03 00:00:00+00:00,31084
2023-09-04 00:00:00+00:00,31101
2023-09-05 00:00:00+00:00,31117
2023-09-06 00:00:00+00:00,31137
2023-09-07 00:00:00+00:00,31156
2023-09-08 00:00:00+00:00,31175
2023-09-09 00:00:00+00:00,31194
2023-09-10 00:00:00+00:00,31212
2023-09-11 00:00:00+00:00,31228
2023-09-12 00:00:00+00:00,31255
2023-09-13 00:00:00+00:00,31280
2023-09-14 00:00:00+00:00,31301
2023-09-15 00:00:00+00:00,31321
2023-09-16 00:00:00+00:00,31339
2023-09-17 00:00:00+00:00,31358
2023-09-18 00:00:00+00:00,31397
2023-09-19 00:00:00+00:00,31445
2023-09-20 00:00:00+00:00,31469
