time_iso8601,forks_cumulative
2023-08-10 00:00:00+00:00,29183
2023-08-11 00:00:00+00:00,29211
2023-08-12 00:00:00+00:00,29226
2023-08-13 00:00:00+00:00,29241
2023-08-14 00:00:00+00:00,29255
2023-08-15 00:00:00+00:00,29279
2023-08-16 00:00:00+00:00,29303
2023-08-17 00:00:00+00:00,29337
2023-08-18 00:00:00+00:00,29353
2023-08-19 00:00:00+00:00,29365
2023-08-20 00:00:00+00:00,29385
2023-08-21 00:00:00+00:00,29402
2023-08-22 00:00:00+00:00,29418
2023-08-23 00:00:00+00:00,29438
2023-08-24 00:00:00+00:00,29451
2023-08-25 00:00:00+00:00,29468
2023-08-26 00:00:00+00:00,29486
2023-08-27 00:00:00+00:00,29497
2023-08-28 00:00:00+00:00,29525
2023-08-29 00:00:00+00:00,29547
2023-08-30 00:00:00+00:00,29568
2023-08-31 00:00:00+00:00,29588
2023-09-01 00:00:00+00:00,29607
2023-09-02 00:00:00+00:00,29625
2023-09-03 00:00:00+00:00,29635
2023-09-04 00:00:00+00:00,29651
2023-09-05 00:00:00+00:00,29667
2023-09-06 00:00:00+00:00,29686
2023-09-07 00:00:00+00:00,29704
2023-09-08 00:00:00+00:00,29722
2023-09-09 00:00:00+00:00,29740
2023-09-10 00:00:00+00:00,29757
2023-09-11 00:00:00+00:00,29772
2023-09-12 00:00:00+00:00,29796
2023-09-13 00:00:00+00:00,29819
2023-09-14 00:00:00+00:00,29839
2023-09-15 00:00:00+00:00,29856
2023-09-16 00:00:00+00:00,29871
2023-09-17 00:00:00+00:00,29892
2023-09-18 00:00:00+00:00,29924
2023-09-19 00:00:00+00:00,29964
2023-09-20 00:00:00+00:00,30006
2023-09-21 00:00:00+00:00,30042
2023-09-22 00:00:00+00:00,30072
2023-09-23 00:00:00+00:00,30109
2023-09-24 00:00:00+00:00,30146
2023-09-25 00:00:00+00:00,30206
2023-09-26 00:00:00+00:00,30286
2023-09-27 00:00:00+00:00,30377
2023-09-28 00:00:00+00:00,30473
2023-09-29 00:00:00+00:00,30572
2023-09-30 00:00:00+00:00,30641
2023-10-01 00:00:00+00:00,30714
2023-10-02 00:00:00+00:00,30792
2023-10-03 00:00:00+00:00,30880
2023-10-04 00:00:00+00:00,30963
2023-10-05 00:00:00+00:00,31039
2023-10-06 00:00:00+00:00,31115
2023-10-07 00:00:00+00:00,31194
2023-10-08 00:00:00+00:00,31270
2023-10-09 00:00:00+00:00,31374
2023-10-10 00:00:00+00:00,31465
2023-10-11 00:00:00+00:00,31564
2023-10-12 00:00:00+00:00,31640
2023-10-13 00:00:00+00:00,31714
2023-10-14 00:00:00+00:00,31779
2023-10-15 00:00:00+00:00,31835
2023-10-16 00:00:00+00:00,31925
2023-10-17 00:00:00+00:00,31980
2023-10-18 00:00:00+00:00,32068
2023-10-19 00:00:00+00:00,32161
2023-10-20 00:00:00+00:00,32245
2023-10-21 00:00:00+00:00,32304
2023-10-22 00:00:00+00:00,32366
2023-10-23 00:00:00+00:00,32478
2023-10-24 00:00:00+00:00,32578
2023-10-25 00:00:00+00:00,32674
2023-10-26 00:00:00+00:00,32780
2023-10-27 00:00:00+00:00,32860
2023-10-28 00:00:00+00:00,32922
2023-10-29 00:00:00+00:00,32971
2023-10-30 00:00:00+00:00,33052
2023-10-31 00:00:00+00:00,33130
2023-11-01 00:00:00+00:00,33212
2023-11-02 00:00:00+00:00,33310
2023-11-03 00:00:00+00:00,33390
2023-11-04 00:00:00+00:00,33450
2023-11-05 00:00:00+00:00,33517
2023-11-06 00:00:00+00:00,33587
2023-11-07 00:00:00+00:00,33675
2023-11-08 00:00:00+00:00,33749
2023-11-09 00:00:00+00:00,33808
2023-11-10 00:00:00+00:00,33861
2023-11-11 00:00:00+00:00,33918
2023-11-12 00:00:00+00:00,33969
2023-11-13 00:00:00+00:00,34031
2023-11-14 00:00:00+00:00,34111
2023-11-15 00:00:00+00:00,34170
2023-11-16 00:00:00+00:00,34235
2023-11-17 00:00:00+00:00,34289
2023-11-18 00:00:00+00:00,34339
2023-11-19 00:00:00+00:00,34395
2023-11-20 00:00:00+00:00,34479
2023-11-21 00:00:00+00:00,34559
2023-11-22 00:00:00+00:00,34625
2023-11-23 00:00:00+00:00,34693
2023-11-24 00:00:00+00:00,34744
2023-11-25 00:00:00+00:00,34782
2023-11-26 00:00:00+00:00,34826
